,Car,Make,Model,Year,Price,Milage,MPG,Expected Car Life (Yr),Gas Cost Per Year,Loan,Cost Per Mile,Cost Per Year,Views Count,Favorite Count,Favorite to Views Ratio,Link,Description
1166,2015 Dodge Journey SXT        ,Dodge,Journey,2015,8000.0,110000,19.0,1.7545454545454546,1013.1578947368421,4000.0,0.11056185112152564,5671.307389135252,149.0,3.0,0.020134228187919462,https://cars.ksl.com/listing/6090399?ad_cid=20,       sport utility rack  third row seat  U connect  dual climate control  Aluminum Alloy wheels  4 extra storage area  push start  key less enter  much more    
666,2013 Volkswagen Jetta SE        ,Volkswagen,Jetta,2013,8000.0,90000,26.0,2.1444444444444444,740.3846153846154,4000.0,0.0887331699745783,4551.597838074224,27.0,1.0,0.037037037037037035,https://cars.ksl.com/listing/6145125?ad_cid=2,       Excellent condition interior and exterior  I bought this car almost 3 years ago and love driving it  Manual 5 speed transmission  2 5 liter engine  Very comfortable ride  I am the second owner  90000 miles  No accidents     
2954,2016 Ford Focus SE        ,Ford,Focus,2016,10800.0,47000,31.0,4.1063829787234045,620.9677419354839,6800.0,0.08917595361570636,3322.612862438054,177.0,1.0,0.005649717514124294,https://cars.ksl.com/listing/6115395?ad_cid=13,       Great car  Runs amazing  Wanting to sell this to get something a little bigger  Small amount of bumper damage due to being rear ended other than that the exterior is in awesome condition  Contact me for more information     
2081,1994 GMC Jimmy SLT        ,GMC,Jimmy,1994,1000.0,91500,16.0,2.109289617486339,1203.125,0.0,0.032605890055652086,1677.2182642487046,796.0,26.0,0.032663316582914576,https://cars.ksl.com/listing/6035052?ad_cid=9,       Great condition  runs really well  Brand new tires on it  Obo    
950,2007 Nissan Xterra        ,Nissan,Xterra,2007,2800.0,157895,16.0,1.2223312961145065,1203.125,0.0,0.10142779576387045,3493.829663212435,986.0,32.0,0.032454361054766734,https://cars.ksl.com/listing/6030603?ad_cid=24,       Winch bumper on front and back  Sides too  Has been a project  I m not finished  but I m done and sell as is  It runs and dives  It needs a few things fixed like slip light and abs light is on  Bumpers alone are worth couple grand  As is  Thx for looking     
1326,2017 Dodge Durango GT        ,Dodge,Durango,2017,30000.0,42000,17.0,4.595238095238095,1132.3529411764705,26000.0,0.22992094313597225,7905.468283162238,38.0,1.0,0.02631578947368421,https://cars.ksl.com/listing/6099081?ad_cid=22,       One owner  Clean title  Heated steering wheel and heated seats front and back  Added running boards  hitch and luggage rack  Back up camera  hands  free phone and navigation built in the stereo  Third row seats     
1567,2011 Jeep Wrangler Sport        ,Jeep,Wrangler,2011,14500.0,134631,16.0,1.4335479941469647,1203.125,10500.0,0.2551468106163725,11634.554218818701,480.0,24.0,0.05,https://cars.ksl.com/listing/6136460?ad_cid=4,       I am sad to sell my baby but I just can t keep my Jeep  This has been a great vehicle and I have really enjoyed it  It is so fun to drive  It is in great shape and has been very reliable  Me and my dog went for lots of rides in the mountains but it hasn t been used for difficult off roading  It has a 3 5 inch lift with slightly bigger tires  I also have a bikini top that comes with it  You are going to love this Jeep     
3213,2016 Toyota 4Runner SR5        ,Toyota,4Runner,2016,32900.0,41000,19.0,4.7073170731707314,1013.1578947368421,28900.0,0.24477176723012423,8267.705443384351,354.0,14.0,0.03954802259887006,https://cars.ksl.com/listing/6110531?ad_cid=22,       2016 Toyota 4Runner  We bought this brand new in 2017  it s has been very well taken care of and babied  Always kept in a garage and Adult owned  Rubber mats always in the car  as well as the cargo tray in back   We have had all the services done at the Toyota dealership in Murray  we can get records of it all upon request   Never had a single problem for us  it s an amazing 4Runner   Installed brand new Falcon suspension 1 month ago  If you don t know about there suspension you should look them up  it s been amazing  They are local here in Utah and do amazing work  We saw huge improvement  This suspension will outperform any TRD Off road suspension   We have some hard to get Stealth Custom series f5 wheels with some awesome BFGoodrich tires all terrain   tires are in great condition   We did have the front windows tinted to match the back factory color  Also had the font end wrapped professionally in vinyl satin black   You won t find a more well maintained 4Runner  We have all the owners manuals and papers as well as the 3 total keys     Very very clean  Come see for yourself  Call or text any time     
2014,2014 Kia Forte EX        ,Kia,Forte,2014,8900.0,62470,28.0,3.0894829518168723,687.5,4900.0,0.08169755639723532,3636.810788906976,30.0,1.0,0.03333333333333333,https://cars.ksl.com/listing/6131154?ad_cid=7,       2014 KIA Forte in excellent condition  New tires with 40 000 mile warranty purchased only a few months ago  This is the 2 0 liter with 6 speed transmission  Average MPG is around 25 combined with highway and city driving  This car belongs to my mom who can t drive anymore due to losing her vision  It was babied  Brakes still have quite a bit of life left  They need the money to pay for medical bills and have asked me to sell it  I ll entertain offers  but no low ball offers please  KBB values this at 9 300 in its condition  Backup camera  heated mirrors  CD AM FM XM Satellite  cruise control  various steering modes  such as sport   auto retracting mirrors for parking in tight spaces  decent center console storage and USB charging ports  big trunk with fold down seats  many other options I can t remember  Does just fine in the snow  It still has both keys as well and everything runs great      
958,2008 Honda Civic EX        ,Honda,Civic,2008,3950.0,150000,29.0,1.2866666666666666,663.7931034482758,0.0,0.0960816091954023,3733.7412899767737,501.0,30.0,0.059880239520958084,https://cars.ksl.com/listing/6116418?ad_cid=10,       2008 Honda Civic  Great on gas mileage  no mechanical problems at all  Only selling because I need a bigger car for the family  Asking  3 950 Please contact me if your serious about buying  No trades  cash only     
2210,2012 Ford F-150 XL        ,Ford,F-150,2012,13000.0,123000,16.0,1.5691056910569106,1203.125,9000.0,0.19840174135104163,9736.077162361218,43.0,1.0,0.023255813953488372,https://cars.ksl.com/listing/6128451?ad_cid=6,       2012 Ford F 150 extended cab  4x4  flex fuel  differential locks  nice truck  13 000    
2740,2012 GMC Acadia SLT        ,GMC,Acadia,2012,9700.0,129000,19.0,1.496124031007752,1013.1578947368421,5700.0,0.16144003211065736,7661.2914720285535,32.0,3.0,0.09375,https://cars.ksl.com/listing/6120454?ad_cid=9,       2012 with 129000 miles  FWD  has summer tires and new snow tires that have only been used one season that are on right now  White with black interior  2nd row bucket seats  remote start  heated seats  weather tech floor mats  Great condition inside and out     
405,2012 Chevrolet Suburban        ,Chevrolet,Suburban,2012,14500.0,115212,12.0,1.6751727250633615,1604.1666666666667,10500.0,0.20806258762064675,10530.980128339983,93.0,5.0,0.053763440860215055,https://cars.ksl.com/listing/6147728?ad_cid=6,       RUNS GREAT  CLEAN TITLE  V8 Flex Fuel 5 3 Liter  Automatic  Four wheel drive  electric seat  power windows  power doors  towing package  cruise control  power steering  cargo rack  seats 9     
2724,2011 Dodge Charger SE        ,Dodge,Charger,2011,9500.0,70900,19.0,2.7221438645980256,1013.1578947368421,5500.0,0.09679122542419141,4590.406614717381,625.0,25.0,0.04,https://cars.ksl.com/listing/6001558?ad_cid=10,       Selling my 2011 Dodge Charger SE 3 6L V6 RWD  Brought to Utah from California  kept in great condition  Very low mileage  will slowly go up in daily use  Custom EuroTEK rims  Black cloth interior with no rips or tears  No dents  Very few paint chips  and if so they are small  Trunk had a paint spill accident  Brand new tires  picture is outdated  Selling for  9 500 OBO  8 500 if you want the stock tires instead  Clean title  Open to trade offers  If you have any more questions feel free to call or text     
1078,2017 Mazda Mazda6 Touring        ,Mazda,Mazda6,2017,15500.0,53000,29.0,3.641509433962264,663.7931034482758,11500.0,0.12526800705188473,5056.80333130173,63.0,0.0,0.0,https://cars.ksl.com/listing/6113966?ad_cid=8,       Like new  only have one little scratch on the Bumper  I m just selling it to get a truck  In no rush to sell  Lower than KBB by far just because of tires     
2647,2009 Audi Q7 4.2L Prestige        ,Audi,Q7,2009,9600.0,141000,16.0,1.3687943262411348,1203.125,5600.0,0.19472779160245385,8393.474084667427,225.0,7.0,0.03111111111111111,https://cars.ksl.com/listing/6087548?ad_cid=8,       Audi Q7  This car has been awesome  I m selling it because I need a truck for work   This car is amazing in the snow  I ve never been stuck anywhere  Amazing Bose sound system  huge sunroof  heated seats in the front and back  lots of storage in the back  seats up to 7 people  all weather floor mats  tow package  roof rack to haul your skis or snowboards   Text me if you have any questions or want to come take it for a spin     
895,1997 Toyota 4Runner SR5        ,Toyota,4Runner,1997,6000.0,70000,17.0,2.757142857142857,1132.3529411764705,2000.0,0.07083481795787985,3339.880017703143,3287.0,55.0,0.01673258290234256,https://cars.ksl.com/listing/6038824?ad_cid=10,       97 Toyota 4 runner 4x4   runs great  newer engine that has about 70k miles on it   asking 6000 obo   thanks for looking     
2931,2002 Jeep Liberty Sport        ,Jeep,Liberty,2002,500.0,150000,17.0,1.2866666666666666,1132.3529411764705,0.0,0.03913921568627451,1520.9539774459006,1846.0,23.0,0.012459371614301192,https://cars.ksl.com/listing/6084596?ad_cid=9,       Needs new motor  Everything else under the hood is functional  Was a great car for me has a lot of potential with a new motor also for parts  Pretty solid tires on it right now as well  4 Wheel Drive is in functioning condition  Heat AC works as well    Willing to sell car as whole or for parts call me if interested   very negotiable NEW MOTOR DUE TO ROD KNOCK Oil pan warn as well  500 cash and it s yours  Definitely worth that amount to repair or sell parts  Tires in good condition as well    
1900,2016 Toyota Tacoma TRD Off Road        ,Toyota,Tacoma,2016,27000.0,95000,21.0,2.031578947368421,916.6666666666666,23000.0,0.28434911503044313,14696.2819814957,544.0,20.0,0.03676470588235294,https://cars.ksl.com/listing/6088310?ad_cid=15,       Add Ons  Level kit  Wheels   tires HID lights  LED interior lights  Tinted windows Cold air intake  Pre wired for subs Rubber Toyota Tacoma floor mats  on driver  passenger and second row Bed liner    
2703,2008 Subaru Outback XT Limited        ,Subaru,Outback,2008,9550.0,128643,20.0,1.5002759574947724,962.5,5550.0,0.1574332294252807,7487.9310676008745,315.0,9.0,0.02857142857142857,https://cars.ksl.com/listing/6066038?ad_cid=5,       I ve really loved driving this car and it s worked perfectly for me  It has everything you need  All wheel drive  heated leather seats  AC Heating works really fast  aux cord  tinted windows  sport mode options  sun roof  racks for skis snowboard  and tons of space in the car  I ve been really happy with it and am sad to see it go  I m only asking for what s left on my car loan  Text for any questions or to come take it for a spin     
206,2009 Ford Escape Limited        ,Ford,Escape,2009,4500.0,152000,23.0,1.269736842105263,836.9565217391304,500.0,0.1163402376800248,4398.022663800316,44.0,1.0,0.022727272727272728,https://cars.ksl.com/listing/6149608?ad_cid=18,       Nice car great condition No problems Don t miss this one  Please call michelle on week days Jeff weekend and after 5 00 M 801 940 4826 J 801 719 9539    
3174,1996 Ford F-250 XLT        ,Ford,F-250,1996,8500.0,142431,14.0,1.355042090556129,1375.0,4500.0,0.18339270743374658,7791.44415353202,711.0,28.0,0.03938115330520394,https://cars.ksl.com/listing/6111452?ad_cid=13,       I have a 1996 Ford F 250 7 3L Diesel long bed for sale  Transmission has been rebuilt  that has a transferable lifetime warranty  I do have all the paperwork regarding the transmission  The truck has the following  New alternator New belt New batteries  New camshaft sensor New VSS sensor And a full set of glowplugs  8  The exterior of the truck is in very good condition  the interior is almost like new  The bed is rhino lined  Has airbags that has tank and compressor that works  The truck doesn t currently run  due to PCM failure  I have the diagnosis report from Ford that states the PCM  The cost for the PCM from Ford is  850 00 plug and play  which I was told by Ford   you take out the old PCM and plug the new PCM in  If interested I d be happy to take the cost of the PCM off the asking price  I m the 3rd owner of this truck  I have only used it for my small lawn care business I had  Truck has been garaged ever since I ve owned it  KBB valued at  8 700 00 Any other Questions contact me     
2529,2005 Subaru Legacy Outback 2.5 XT Limited        ,Subaru,Legacy,2005,4900.0,123565,23.0,1.5619309675069801,836.9565217391304,900.0,0.08171882893581492,3999.0107243206953,1270.0,64.0,0.050393700787401574,https://cars.ksl.com/listing/6011778?ad_cid=21,       Low miles 124K   Runs perfect   Adult owned   This Outback XT has the powerful turbo charged 2 5L engine   Well maintained and will run for years to come   Perfect winter car for a killer price   Fully loaded with heated seats  full power and powered sunroof   You won t be disappointed   Must sell  I have too many cars in the driveway   I will post better pics latter today    Dave 801 513 4269 Keywords  WRX STI Subaru Impreza Legacy GT Low miles  AWD     
2792,2007 Chevrolet TrailBlazer LT        ,Chevrolet,TrailBlazer,2007,5500.0,72000,16.0,2.6805555555555554,1203.125,1500.0,0.06867104715643754,3279.131453853515,221.0,2.0,0.00904977375565611,https://cars.ksl.com/listing/6118669?ad_cid=24,       Who needs a new to you ride for Christmas   2007 Chevy Trialblazer 72000 miles on rebuilt Jasper 4 2 liter 6 cylinder engine  Automatic transmission  4WD  Gray cloth interior  Good gas mileage  In great shape     
744,2014 Mini Cooper        ,Mini,Cooper,2014,11500.0,49000,33.0,3.938775510204082,583.3333333333334,7500.0,0.09352233254205418,3585.345795226212,61.0,1.0,0.01639344262295082,https://cars.ksl.com/listing/6144642?ad_cid=16,       Great commuter car averaging 39 MPG   Car has been garaged and maintained very well   Custom 18  wheels with run flat tires   Stock wheels have winter tires that have been run for 1 season  last year not pictured but included in the sale   Tinted windows  legal tint   Weather tech floor mats  I also have the stock floor mats   Very fast car with turbo  checker flag mirrors and super fun to drive   This is an excellent commuter car for someone looking to save money on gas but still having a blast getting to and from work or school   This car has been very dependable  no issues just regular maintenance   Prefer text messages to make arrangements to check this beauty out     
3326,2008 Chevrolet Suburban LTZ        ,Chevrolet,Suburban,2008,11500.0,142000,16.0,1.3591549295774648,1203.125,7500.0,0.2320601110496383,9902.83458344467,208.0,4.0,0.019230769230769232,https://cars.ksl.com/listing/6106568?ad_cid=1,       2008 Chevy Suburban for sale   Original owner   Leather interior  bucket seats in middle aisle  sun roof  rear view camera  roof rack  DVD player   It has been a great family vehicle for us  but we are downsizing as our kids have grown up and moved out     
2379,2004 Nissan Sentra S        ,Nissan,Sentra,2004,1699.0,115000,27.0,1.6782608695652175,712.9629629629629,0.0,0.03406515108458842,1725.3204759163307,522.0,19.0,0.03639846743295019,https://cars.ksl.com/listing/6088296?ad_cid=14,       Nissan Sentra runs great and it has some details with paint and the inside is in good condition the emissions and inspections already passed so its ready for license plates   1699 OBO serious offers will not take trades Text me for any info I work all day so I won be able to answer  8012054366 Mándeme mensaje de texto no puedo contestar 8012054366    
2692,2013 Ford F-150 FX4        ,Ford,F-150,2013,27500.0,60834,19.0,3.1725679718578426,1013.1578947368421,23500.0,0.22800328773887235,10001.458068961963,67.0,3.0,0.04477611940298507,https://cars.ksl.com/listing/6121246?ad_cid=10,       Listing to help a coworker sell  No dealerships  no scammers  overseas shipping etc  I do not need help selling  Do not waste my time   I have for sale a Sterling Gray 2013 Ford F 150 XLT FX4  The truck is in amazing shape and has 60k original miles  He is the second owner  The truck is a certified preowned vehicle and comes with a 7 year 100k mile warranty good until 100 000 miles or 9 17 2020 whichever comes first  Transferable to new owner  Has always been maintained at dealer   5 0 V8  6 speed automatic  FX4  Black Cloth Sport Interior including bucket seats   Color matched bumpers  grille  mirror caps  and side steps Leveling Kit Walker Evan 17x8 5 wheels 35x12 5x17 Toyo Open Country A T Spray bedliner Power everything  In dash 4 2  LCD productivity screen and 8  LCD Nav Sync with MyFord Won t let me list all options as I run out of room  Message me for more details  Will no find one cleaner still under factory warranty  Asking 27 500 which is just above KBB but considering the warranty and upgrades it s right in market value  Thank you for your time    
2642,2006 Hyundai Elantra        ,Hyundai,Elantra,2006,1900.0,120000,26.0,1.6083333333333334,740.3846153846154,0.0,0.0386348157051282,1921.7317656436826,166.0,6.0,0.03614457831325301,https://cars.ksl.com/listing/6122585?ad_cid=21,       GREAT CAR   We ve drove it for years and it still has no problems  Only selling because we don t need the extra car Constant oil changes  New tires New brakes New Bluetooth connection Call or text if interested     
2649,2015 Ford Focus SE        ,Ford,Focus,2015,5900.0,82000,30.0,2.3536585365853657,641.6666666666667,1900.0,0.06349498612786014,3183.30303509417,489.0,32.0,0.065439672801636,https://cars.ksl.com/listing/6122396?ad_cid=10,       Backup camera  low miles  paddle shifters on steering wheel  sport mode automatic  Aftermarket exhaust and air filter   as is or willing to bring back to stock specs  Asking  5900 obo  Easy transaction No doc fees or extra costs of any kind   Call or text Tyson 801 808 2527 Adventure  Auto  131B    
212,2013 Toyota Tacoma TRD Off Road        ,Toyota,Tacoma,2013,22500.0,90588,19.0,2.1305250143506864,1013.1578947368421,18500.0,0.23268364269848998,11949.347012330694,135.0,5.0,0.037037037037037035,https://cars.ksl.com/listing/6149561?ad_cid=24,       This 2013 Toyota Tacoma has been a perfect truck  Only reason I am selling is because my family is growing  The oil has been changed every 3k miles by myself  Brand new tires in Sept  2019  Ditch lights wired in to a inside switch for those dark nights  I have babied this truck and hate to see it go  Any questions feel free to text or call    Truck is in Colorado but I am willing to drive it to the salt lake valley for serious inquires only  Mileage will change due to a daily driver  Scammers keep scrolling  Don t even try    
919,2000 Honda Insight        ,Honda,Insight,2000,2900.0,143000,53.0,1.3496503496503496,363.20754716981133,0.0,0.05947724900058564,2511.9122103822465,152.0,12.0,0.07894736842105263,https://cars.ksl.com/listing/6143373?ad_cid=17,       Runs perfect  passes emissions  0 leaksCar has been pampered all its life   Needs a nice loving home   Great for a college student that want to save some money on gas   It s a hybrid  all components were built to last   they don t make them like they used to     firm on price  clean tittle in hand   Please via text message   Scammers will be reported     
1595,2000 Isuzu Rodeo LS        ,Isuzu,Rodeo,2000,3200.0,99268,16.0,1.9442317766047468,1203.125,0.0,0.054989018943608636,2849.0193005181345,189.0,13.0,0.06878306878306878,https://cars.ksl.com/listing/6136199?ad_cid=21,       2000 Isuzu Rodeo  low miles  mid size SUV  3 2L 6cyl engine  automatic transmission  4 wheel drive  posi traction  power steering  4 wheel ABS   disc power brakes  power windows and locks  seats in great condition   protected with seat covers  front seats recline  60 40 split rear seats fold flat  power adjusted exterior mirrors  tinted windows  rear cargo cover  air conditioning  intermittent wipers  tilt steering wheel  rear wiper   defogger  driver   passenger air bags  AM FM cassette stereo  luggage   roof rack  all 5 tires in excellent condition  fun year round vehicle   excellent in snow   great in the mountains  same vehicle as the Honda Passport    
3115,2015 Jeep Wrangler Unlimited Rubicon        ,Jeep,Wrangler,2015,38000.0,45000,18.0,4.288888888888889,1069.4444444444446,34000.0,0.2842366198837174,10272.28198802554,151.0,2.0,0.013245033112582781,https://cars.ksl.com/listing/6058784?ad_cid=15,       Great Fun Jeep  Bought it and have loved every minute but I need a new truck sooner than I thought hate to sell it but I need a truck more than a Jeep  It gets serviced often to keep it at its best  Never had passengers in it just me  Open to offers    
1880,2000 Chevrolet S-10        ,Chevrolet,S-10,2000,5695.0,82751,22.0,2.332298099116627,875.0,1695.0,0.06660220600853982,3348.217817976617,240.0,10.0,0.041666666666666664,https://cars.ksl.com/listing/6132323?ad_cid=7,       2000 Chevy S10  Low miles  excellent condition  801 540 2720     
3377,2013 Audi A7 Prestige        ,Audi,A7,2013,23500.0,96300,21.0,2.004153686396677,916.6666666666666,19500.0,0.25246093646478207,13062.96981568714,609.0,11.0,0.0180623973727422,https://cars.ksl.com/listing/6105443?ad_cid=19,       I am selling my 2013 Audi A7 Prestige Quattro with 96 300 miles  This car is originally white but has a matte metallic blue vinyl wrap over it  I ve had the car since 70 000 miles  and every feature that this car has to offer is all in great working condition  Heated and cooled seats  auto folding mirrors  dual climate for Both front and rear  auto open closing trunk  hydraulic spoiler  paddle shifters  touchpad controls  parking sensors  back up camera  fully automatic windows  power seats  adaptive headlights  auto dimming and heated mirrors  etc  I have then added all new exterior and interior cosmetic pieces  carbon fiber  red accents  decal stickers    all easily removable without any damage to the vehicle   I added a remote start system with phone remote start capability from anywhere in the world for  1500  also is wired for subs and amp  I may include the subwoofers  amp  and the battery equalizer  if we can come to a deal on the price  I paid  3 000 for the sound system  New   This vehicle does have a rebuilt title  when I first got this car more than a year and nine months ago  the front drivers side wheel hit a curb and the control arm for it had to be replaced  I have since driven it every day with not a single problem   Interior is in perfect immaculate condition  and the exterior is too  besides 2 spots where the vinyl wrap is fading from age and some rock chips on the front  Give me a call or text anytime  I have more pictures and videos and the paperwork from every service and maintainence done to the car  including the front wheel repair papers  All pictures listed have been taken over the past 2 months     
3215,2013 Jeep Wrangler Sahara        ,Jeep,Wrangler,2013,23450.0,82000,18.0,2.3536585365853657,1069.4444444444446,19450.0,0.22718647110590282,11389.928986635834,170.0,7.0,0.041176470588235294,https://cars.ksl.com/listing/6112586?ad_cid=2,       Price Reduced   2013   Jeep Sahara in excellent condition mechanically  interior and exterior   Rare and beautiful gecko green  4 door  high quality lift and 12 5 by 35 inch BF Goodrich All Terrain T As   A service warranty is in place and very consistent oil changes and tire rotations have kept this jeep running smooth   Enjoy the great benefits of safe driving and traction for winter and beyond   While this jeep is prepared for Moab  the miles have been smooth highway travel  leaving it in excellent condition   My reason for selling is that I had to get a truck for other needs and I have a 2 door wrangler to drive as well   I have found this jeep to be my favorite jeep every  having owned 10   Prices for 2013s range from  19k to  35k and this sits at a very good value for the right buyer   Please call if you see a match   801 497 1912    
683,2007 Ford Explorer XL        ,Ford,Explorer,2007,4500.0,140000,16.0,1.3785714285714286,1203.125,500.0,0.10300351046247903,4483.054341372144,486.0,14.0,0.02880658436213992,https://cars.ksl.com/listing/6051831?ad_cid=22,       Owned a little over a year it runs great everything works   Good on gas it s à 4 door hatch back  Pioneer after market radio with 7inch screen   Interior in good condition some small scratches nothing to bad    It s good for a first time vehicle for student or a mom   Miles are approximately 140000 miles    Any questions feel free to call or text  Tiffany  385 722 1863 or Jeff at  385 251 9064  Thank you  4 500 OBO    
1939,2013 Toyota 4Runner Limited        ,Toyota,4Runner,2013,25999.0,85700,19.0,2.252042007001167,1013.1578947368421,21999.0,0.2557460500950253,12980.1191252141,779.0,27.0,0.03465982028241335,https://cars.ksl.com/listing/6066022?ad_cid=23,       2013 Toyota 4Runner Limited  3rd Row Seat  Seats 7  Sunroof  All Power Options  Backup Camera  Party Mode  Leveling Kit  New Tires  Aftermarket Wheels  Power Running Boards  Roof Rack  4Runners are the best cars on the road  85 000 miles   25 999 OBO  Call Travis 801 864 0057    
1495,2005 Chevrolet TrailBlazer LT        ,Chevrolet,TrailBlazer,2005,3490.0,142400,16.0,1.3553370786516854,1203.125,0.0,0.08889999865890294,3778.1301813471505,173.0,12.0,0.06936416184971098,https://cars.ksl.com/listing/6127584?ad_cid=13,       It s clean carfax one owner   2005 4x4 Chevrolet Trailblazer LT  like new tires  super clean inside and out  runs perfectly  air conditioning  power driver seat  cruise control  6 cylinder  4 2 Liter  towing pkg  power steering  driver and passenger airbags  power mirrors  power door locks  power windows  dual zone air conditioning  low mileage for the year  title in hand  Please text and cash only 801 400 6015  3490  OBO  HABLO ESPAÑOL     
454,2017 Hyundai Elantra SE        ,Hyundai,Elantra,2017,10400.0,53400,32.0,3.614232209737828,601.5625,6400.0,0.0876594993100567,3555.632801962799,262.0,9.0,0.03435114503816794,https://cars.ksl.com/listing/5997735?ad_cid=7,       2017 Hyundai Elantra SE for sale  Great condition  No accidents  Maintained regularly   I can meet you in Draper or Bountiful  Still for sale For full CarFax please contact me Asking  10 400 Please text or call for details   Text is preferred    
3074,2011 Toyota Tacoma TRD Sport        ,Toyota,Tacoma,2011,23000.0,130000,18.0,1.4846153846153847,1069.4444444444446,19000.0,0.36298792899522686,17114.97489044852,102.0,3.0,0.029411764705882353,https://cars.ksl.com/listing/6113127?ad_cid=23,       Great well taken care of truck just need something bigger    
1243,2001 Ford Taurus SES        ,Ford,Taurus,2001,1200.0,156300,20.0,1.234804862444018,962.5,0.0,0.05465674325177042,1934.3134715025906,118.0,8.0,0.06779661016949153,https://cars.ksl.com/listing/6138948?ad_cid=4,       I ve used this a a commuter car for the last 4 and a half years   Everything works  and the interior is in very good condition   There are dents in various places on the exterior   Passed emissions     
542,2013 Nissan Versa S Plus        ,Nissan,Versa,2013,4950.0,121870,35.0,1.5836547140395503,550.0,950.0,0.07502984974330427,3701.6163362349976,49.0,1.0,0.02040816326530612,https://cars.ksl.com/listing/6146505?ad_cid=19,       Manual Transmission AM FM CD Radio CD player Air Conditioning Rear window defroster Power steering Driver door bin Tilt steering wheel Adjustable Front Bucket Seats Front Bucket Seats Passenger door bin    
901,2016 Subaru Impreza 2.0i Sport Premium        ,Subaru,Impreza,2016,16000.0,45700,31.0,4.223194748358862,620.9677419354839,12000.0,0.12405231868186656,4532.415366364606,99.0,4.0,0.04040404040404041,https://cars.ksl.com/listing/6119176?ad_cid=17,       Selling my 2016 Subaru Impreza Sport Premium  Asking  16000 obo  It s been a great car and it s super reliable  I m trying to sell it to save up for a house  5 speed manual transmission  Heated seats and backup camera  It does has a crack in the windshield but does not affect it from passing emissions  I have records of it being serviced  Oil changed every 3000 miles  Looking for serious buyers only  Text is best form of contact     
1059,2010 Nissan Titan SE        ,Nissan,Titan,2010,12500.0,127000,14.0,1.5196850393700787,1375.0,8500.0,0.20489114864195174,9842.206419997588,98.0,2.0,0.02040816326530612,https://cars.ksl.com/listing/6141407?ad_cid=4,       Selling this truck for a friend  Runs and drives great  Just put a new battery in it  Nice aftermarket sound system  Text 8013680122 with any questions     
3468,2012 Ford F-150 XLT        ,Ford,F-150,2012,14000.0,153000,16.0,1.261437908496732,1203.125,10000.0,0.339361809332659,12644.30451249301,105.0,3.0,0.02857142857142857,https://cars.ksl.com/listing/6102977?ad_cid=4,       F150 ecoboost 153 000 miles  no mechanical issues  new plugs and wires  spray in bed liner and bed cover  Awesome  powerful  truck selling to buy a bigger suv  Text or call 435 592 3748  14 000    
1154,2008 Honda Accord LX-P        ,Honda,Accord,2008,8200.0,103915,22.0,1.8572872058894287,875.0,4200.0,0.10414433135497407,5387.808652593723,86.0,5.0,0.05813953488372093,https://cars.ksl.com/listing/6140460?ad_cid=2,       2008 Honda Accord in very good shape both inside and out  Very low miles  only 103 915  One owner  very well taken of  Automatic transmission  charcoal grey exterior with light grey interior  Four door  2 4l engine  Great gas mileage     
2277,2012 Chevrolet Camaro 2SS        ,Chevrolet,Camaro,2012,18500.0,62000,22.0,3.1129032258064515,875.0,14500.0,0.15833825925575484,7019.389358509007,669.0,18.0,0.026905829596412557,https://cars.ksl.com/listing/6082697?ad_cid=2,        PRICE REDUCED    18 000 00  I am selling my 2012 Camaro 2ss  The interior is in flawless condition and the exterior is in prestine condition as well besides some small clear coat pealing that you can t tell is there but other than that  there is absolutely nothing wrong with it  It is a 6 speed manual transmission and it shifts flawlessly  Always kept up with regular maintenance and what not  It has a k n cold air intake  Aftermarket exhaust and a hurst short shifter  Want to sell ASAP  Text is best  OBO    
1045,2017 Chevrolet Cruze        ,Chevrolet,Cruze,2017,10500.0,76600,32.0,2.519582245430809,601.5625,6500.0,0.09964915401337616,4880.454141773044,281.0,6.0,0.021352313167259787,https://cars.ksl.com/listing/6027314?ad_cid=24,       Most miles are freeway miles on the car  No recalls  family with children used car  Has 2 new tires with warranties  A couple of blemishes on the exterier of the car body  Smoke Free  Car has not been in any accidents   the oil changes   maintances have been kept up to date  Only Serious Buyers Please  CASH ONLY    
494,2017 Honda Pilot Touring 8-Passenger        ,Honda,Pilot,2017,29400.0,52451,21.0,3.679624792663629,916.6666666666666,25400.0,0.22955849773913137,9205.049071971345,144.0,5.0,0.034722222222222224,https://cars.ksl.com/listing/6118477?ad_cid=22,       2017 LOADED Honda Pilot AWD with 52 451 miles  Navigation  DVD  8 passenger  Running Boards  Tint  Remote Key Start  Push Button Start  Heated Seats  Sun Roof  Power Everything  Lane Assist PKG  20 inch Honda Wheels      oil change done 12 17 19      Great Car  Selling because we just bought a 2020 Pilot     Thanks    
3184,2016 Ram 1500 Laramie        ,Ram,1500,2016,32500.0,47000,17.0,4.1063829787234045,1132.3529411764705,28500.0,0.25086298611263236,9346.920897077405,290.0,7.0,0.02413793103448276,https://cars.ksl.com/listing/6077458?ad_cid=8,       Very nice truck  30MPG hwy  New tires and just serviced  CarFax available to serious interested buyers  Call me 801 503 8473    
